source	target	type	effect	arrow	relation_id	kegg_id_source	genesymbol_source	uniprot_source	kegg_id_target	genesymbol_target	uniprot_target	pathway_name
862	17	32	PPrel	activation	-->	hsa04066:4	hsa:1950 hsa:3479 hsa:3630	EGF	P01133	hsa:1956 hsa:2064 hsa:3480 hsa:3643	EGFR	P00533	HIF-1 signaling pathway
863	167	166	PPrel	activation	-->	hsa04066:5	hsa:5604 hsa:5605	MAP2K1	Q02750	hsa:5594 hsa:5595	MAPK1	P28482	HIF-1 signaling pathway
864	166	168	PPrel	activation	-->	hsa04066:6	hsa:5594 hsa:5595	MAPK1	P28482	hsa:2872 hsa:8569	MKNK2	Q9HBH9	HIF-1 signaling pathway
865	33	34	PPrel	activation	-->	hsa04066:7	hsa:5290 hsa:5291 hsa:5293 hsa:5295 hsa:5296 hsa:8503	PIK3CA	P42336	hsa:10000 hsa:207 hsa:208	AKT3	Q9Y243	HIF-1 signaling pathway
866	35	154	PPrel	activation	-->	hsa04066:8	hsa:2475	MTOR	P42345	hsa:6198 hsa:6199	RPS6KB1	P23443	HIF-1 signaling pathway
867	154	155	PPrel	activation	-->	hsa04066:9	hsa:6198 hsa:6199	RPS6KB1	P23443	hsa:6194	RPS6	P62753	HIF-1 signaling pathway
868	168	153	PPrel	activation	-->	hsa04066:10	hsa:2872 hsa:8569	MKNK2	Q9HBH9	hsa:1977 hsa:253314 hsa:9470	EIF4E	P06730	HIF-1 signaling pathway
869	41	35	PPrel	activation	-->	hsa04066:13	hsa:5578 hsa:5579 hsa:5582	PRKCA	P17252	hsa:2475	MTOR	P42345	HIF-1 signaling pathway
870	78	14	PPrel	activation	-->	hsa04066:19	hsa:815 hsa:816 hsa:817 hsa:818	CAMK2A	Q9UQM7	hsa:1387 hsa:2033	CREBBP	Q92793	HIF-1 signaling pathway
871	11	15	PPrel	activation	-->	hsa04066:20	hsa:112398 hsa:112399 hsa:54583	EGLN2	Q96KS0	hsa:3091	HIF1A	Q16665	HIF-1 signaling pathway
872	135	136	PPrel	activation	-->	hsa04066:22	hsa:3570	IL6R	P08887	hsa:6774	STAT3	P40763	HIF-1 signaling pathway
873	120	121	PPrel	activation	-->	hsa04066:23	hsa:7099	TLR4	O00206	hsa:4790 hsa:5970	NFKB1	P19838	HIF-1 signaling pathway
874	127	121	PPrel	activation	-->	hsa04066:24	hsa:3459 hsa:3460	IFNGR1	P15260	hsa:4790 hsa:5970	NFKB1	P19838	HIF-1 signaling pathway
875	41	11	PPrel	inhibition	--|	hsa04066:25	hsa:5578 hsa:5579 hsa:5582	PRKCA	P17252	hsa:112398 hsa:112399 hsa:54583	EGLN2	Q96KS0	HIF-1 signaling pathway
876	166	152	PPrel	inhibition	--|	hsa04066:27	hsa:5594 hsa:5595	MAPK1	P28482	hsa:1978	EIF4EBP1	Q13541	HIF-1 signaling pathway
877	35	152	PPrel	inhibition	--|	hsa04066:28	hsa:2475	MTOR	P42345	hsa:1978	EIF4EBP1	Q13541	HIF-1 signaling pathway
878	67	66	PPrel	inhibition	--|	hsa04066:29	hsa:5163	PDK1	Q15118	hsa:5160 hsa:5161 hsa:5162	PDHA1	P08559	HIF-1 signaling pathway
879	136	15	GErel	expression	-->	hsa04066:30	hsa:6774	STAT3	P40763	hsa:3091	HIF1A	Q16665	HIF-1 signaling pathway
880	121	15	GErel	expression	-->	hsa04066:31	hsa:4790 hsa:5970	NFKB1	P19838	hsa:3091	HIF1A	Q16665	HIF-1 signaling pathway
881	32	167	PPrel	activation	-->	hsa04066:61	hsa:1956 hsa:2064 hsa:3480 hsa:3643	EGFR	P00533	hsa:5604 hsa:5605	MAP2K1	Q02750	HIF-1 signaling pathway
882	32	33	PPrel	activation	-->	hsa04066:62	hsa:1956 hsa:2064 hsa:3480 hsa:3643	EGFR	P00533	hsa:5290 hsa:5291 hsa:5293 hsa:5295 hsa:5296 hsa:8503	PIK3CA	P42336	HIF-1 signaling pathway
883	34	35	PPrel	activation	-->	hsa04066:63	hsa:10000 hsa:207 hsa:208	AKT3	Q9Y243	hsa:2475	MTOR	P42345	HIF-1 signaling pathway
884	152	153	PPrel	inhibition	--|	hsa04066:67	hsa:1978	EIF4EBP1	Q13541	hsa:1977 hsa:253314 hsa:9470	EIF4E	P06730	HIF-1 signaling pathway
885	133	134	PPrel	activation	-->	hsa04068:1	hsa:7046 hsa:7048	TGFBR1	P36897	hsa:4088	SMAD3	P84022	FoxO signaling pathway
886	135	134	PPrel	activation	-->	hsa04068:2	hsa:4089	SMAD4	Q13485	hsa:4088	SMAD3	P84022	FoxO signaling pathway
887	173	7	PPrel	activation	-->	hsa04068:5	hsa:6794	STK11	Q15831	hsa:51422 hsa:53632 hsa:5562 hsa:5563 hsa:5564 hsa:5565 hsa:5571	PRKAG2	Q9UGJ0	FoxO signaling pathway
888	187	133	PPrel	activation	-->	hsa04068:7	hsa:7040 hsa:7042 hsa:7043	TGFB1	P01137	hsa:7046 hsa:7048	TGFBR1	P36897	FoxO signaling pathway
889	72	73	PPrel	activation	-->	hsa04068:9	hsa:3479	IGF1	P05019	hsa:3480	IGF1R	P08069	FoxO signaling pathway
890	8	14	PPrel	activation	-->	hsa04068:10	hsa:3630	INS	P01308	hsa:3643	INSR	P06213	FoxO signaling pathway
891	73	21	PPrel	activation	-->	hsa04068:11	hsa:3480	IGF1R	P08069	hsa:3667 hsa:8471 hsa:8660	IRS1	P35568	FoxO signaling pathway
892	14	21	PPrel	activation	-->	hsa04068:12	hsa:3643	INSR	P06213	hsa:3667 hsa:8471 hsa:8660	IRS1	P35568	FoxO signaling pathway
893	21	19	PPrel	activation	-->	hsa04068:13	hsa:3667 hsa:8471 hsa:8660	IRS1	P35568	hsa:5290 hsa:5291 hsa:5293 hsa:5295 hsa:5296 hsa:8503	PIK3CA	P42336	FoxO signaling pathway
894	20	4	PPrel	activation	-->	hsa04068:16	hsa:5170	PDPK1	O15530	hsa:1147 hsa:3551	CHUK	O15111	FoxO signaling pathway
895	20	4	PPrel	activation	-->	hsa04068:16	hsa:5170	PDK1	Q15118	hsa:1147 hsa:3551	CHUK	O15111	FoxO signaling pathway
896	20	4	PPrel	activation	-->	hsa04068:16	hsa:5170	PDPK2P	Q6A1A2	hsa:1147 hsa:3551	CHUK	O15111	FoxO signaling pathway
897	20	18	PPrel	activation	-->	hsa04068:17	hsa:5170	PDPK1	O15530	hsa:10000 hsa:207 hsa:208	AKT3	Q9Y243	FoxO signaling pathway
898	20	18	PPrel	activation	-->	hsa04068:17	hsa:5170	PDK1	Q15118	hsa:10000 hsa:207 hsa:208	AKT3	Q9Y243	FoxO signaling pathway
899	20	18	PPrel	activation	-->	hsa04068:17	hsa:5170	PDPK2P	Q6A1A2	hsa:10000 hsa:207 hsa:208	AKT3	Q9Y243	FoxO signaling pathway
900	18	4	PPrel	activation	-->	hsa04068:19	hsa:10000 hsa:207 hsa:208	AKT3	Q9Y243	hsa:1147 hsa:3551	CHUK	O15111	FoxO signaling pathway
901	53	43	PPrel	activation	-->	hsa04068:28	hsa:1950	EGF	P01133	hsa:1956	EGFR	P00533	FoxO signaling pathway
902	43	44	PPrel	activation	-->	hsa04068:29	hsa:1956	EGFR	P00533	hsa:2885	GRB2	P62993	FoxO signaling pathway
903	44	11	PPrel	activation	-->	hsa04068:30	hsa:2885	GRB2	P62993	hsa:6654 hsa:6655	SOS1	Q07889	FoxO signaling pathway
904	44	11	PPrel	activation	-->	hsa04068:30	hsa:2885	GRB2	P62993	hsa:6654 hsa:6655	HGF	P14210	FoxO signaling pathway
905	11	12	PPrel	activation	-->	hsa04068:31	hsa:6654 hsa:6655	SOS1	Q07889	hsa:3265 hsa:3845 hsa:4893	HRAS	P01112	FoxO signaling pathway
906	11	12	PPrel	activation	-->	hsa04068:31	hsa:6654 hsa:6655	SOS1	Q07889	hsa:3265 hsa:3845 hsa:4893	KRAS	P01116	FoxO signaling pathway
907	11	12	PPrel	activation	-->	hsa04068:31	hsa:6654 hsa:6655	HGF	P14210	hsa:3265 hsa:3845 hsa:4893	HRAS	P01112	FoxO signaling pathway
908	11	12	PPrel	activation	-->	hsa04068:31	hsa:6654 hsa:6655	HGF	P14210	hsa:3265 hsa:3845 hsa:4893	KRAS	P01116	FoxO signaling pathway
909	12	15	PPrel	activation	-->	hsa04068:32	hsa:3265 hsa:3845 hsa:4893	HRAS	P01112	hsa:369 hsa:5894 hsa:673	ARAF	P10398	FoxO signaling pathway
910	12	15	PPrel	activation	-->	hsa04068:32	hsa:3265 hsa:3845 hsa:4893	KRAS	P01116	hsa:369 hsa:5894 hsa:673	ARAF	P10398	FoxO signaling pathway
911	15	13	PPrel	activation	-->	hsa04068:33	hsa:369 hsa:5894 hsa:673	ARAF	P10398	hsa:5604 hsa:5605	MAP2K1	Q02750	FoxO signaling pathway
912	13	6	PPrel	activation	-->	hsa04068:34	hsa:5604 hsa:5605	MAP2K1	Q02750	hsa:5594 hsa:5595	MAPK1	P28482	FoxO signaling pathway
913	4	61	PPrel	inhibition	--|	hsa04068:37	hsa:1147 hsa:3551	CHUK	O15111	hsa:5728	PTEN	P60484	FoxO signaling pathway
914	4	61	PPrel	inhibition	--|	hsa04068:37	hsa:1147 hsa:3551	CHUK	O15111	hsa:5728	TEP1	Q99973	FoxO signaling pathway
915	149	147	PPrel	activation	-->	hsa04068:68	hsa:3569	IL6	P05231	hsa:6774	STAT3	P40763	FoxO signaling pathway
916	149	147	PPrel	activation	-->	hsa04068:68	hsa:3569	HGF	P14210	hsa:6774	STAT3	P40763	FoxO signaling pathway
917	150	147	PPrel	activation	-->	hsa04068:69	hsa:3586	IL10	P22301	hsa:6774	STAT3	P40763	FoxO signaling pathway
918	115	117	PPrel	binding/association	---	hsa04068:73	hsa:2911	GRM1	Q13255	hsa:9454 hsa:9455 hsa:9456	HOMER3	Q9NSC5	FoxO signaling pathway
919	115	118	PPrel	binding/association	---	hsa04068:74	hsa:2911	GRM1	Q13255	hsa:116986	AGAP2	Q99490	FoxO signaling pathway
920	117	19	PPrel	activation	-->	hsa04068:75	hsa:9454 hsa:9455 hsa:9456	HOMER3	Q9NSC5	hsa:5290 hsa:5291 hsa:5293 hsa:5295 hsa:5296 hsa:8503	PIK3CA	P42336	FoxO signaling pathway
921	118	19	PPrel	activation	-->	hsa04068:76	hsa:116986	AGAP2	Q99490	hsa:5290 hsa:5291 hsa:5293 hsa:5295 hsa:5296 hsa:8503	PIK3CA	P42336	FoxO signaling pathway
922	80	83	PPrel	activation	-->	hsa04020:1	hsa:1128 hsa:1131 hsa:1133 hsa:135 hsa:136 hsa:153 hsa:154 hsa:155 hsa:1812 hsa:1816 hsa:3274 hsa:3360 hsa:3361 hsa:3362 hsa:3363	CHRM1	P11229	hsa:2774 hsa:2778	GNAL	P38405	Calcium signaling pathway
923	83	78	PPrel	activation	-->	hsa04020:2	hsa:2774 hsa:2778	GNAL	P38405	hsa:107 hsa:108 hsa:109 hsa:113 hsa:114 hsa:115 hsa:196883	ADCY1	Q08828	Calcium signaling pathway
924	82	81	PPrel	inhibition	--|	hsa04020:3	hsa:5566 hsa:5567 hsa:5568	PRKACA	P17612	hsa:5350	PLN	P26678	Calcium signaling pathway
925	81	79	PPrel	inhibition	--|	hsa04020:4	hsa:5350	PLN	P26678	hsa:487 hsa:488 hsa:489	ATP2A1	O14983	Calcium signaling pathway
926	56	59	PPrel	activation	-->	hsa04020:5	hsa:1956 hsa:2064 hsa:2065 hsa:2066 hsa:2260 hsa:2261 hsa:2263 hsa:2264 hsa:2321 hsa:2324 hsa:3791 hsa:4233 hsa:4486 hsa:4914 hsa:4915 hsa:4916 hsa:5156 hsa:5159 hsa:5979	EGFR	P00533	hsa:5335 hsa:5336	PLCG1	P19174	Calcium signaling pathway
927	74	64	PPrel	activation	-->	hsa04020:6	hsa:163688 hsa:51806 hsa:801 hsa:805 hsa:808 hsa:810 hsa:91860	CALML6	Q8TD86	hsa:340156 hsa:4638 hsa:85366 hsa:91807	MYLK4	Q86YV6	Calcium signaling pathway
928	67	74	PPrel	binding/association	---	hsa04020:7	hsa:5255 hsa:5256 hsa:5257 hsa:5260 hsa:5261	PHKA1	P46020	hsa:163688 hsa:51806 hsa:801 hsa:805 hsa:808 hsa:810 hsa:91860	CALML6	Q8TD86	Calcium signaling pathway
929	48	74	PPrel	binding/association	---	hsa04020:8	hsa:5530 hsa:5532 hsa:5533 hsa:5534 hsa:5535	PPP3CA	Q08209	hsa:163688 hsa:51806 hsa:801 hsa:805 hsa:808 hsa:810 hsa:91860	CALML6	Q8TD86	Calcium signaling pathway
930	48	74	PPrel	binding/association	---	hsa04020:8	hsa:5530 hsa:5532 hsa:5533 hsa:5534 hsa:5535	CCN1	O00622	hsa:163688 hsa:51806 hsa:801 hsa:805 hsa:808 hsa:810 hsa:91860	CALML6	Q8TD86	Calcium signaling pathway
931	78	82	PPrel	compound	45	hsa04020:9	hsa:107 hsa:108 hsa:109 hsa:113 hsa:114 hsa:115 hsa:196883	ADCY1	Q08828	hsa:5566 hsa:5567 hsa:5568	PRKACA	P17612	Calcium signaling pathway
932	65	66	PPrel	compound	43	hsa04020:10	hsa:113026 hsa:5333 hsa:84812	PLCD3	Q8N3E9	hsa:3708 hsa:3709 hsa:3710	ITPR1	Q14643	Calcium signaling pathway
933	69	66	PPrel	compound	43	hsa04020:11	hsa:23236 hsa:5330 hsa:5331 hsa:5332	PLCB1	Q9NQ66	hsa:3708 hsa:3709 hsa:3710	ITPR1	Q14643	Calcium signaling pathway
934	59	66	PPrel	compound	43	hsa04020:12	hsa:5335 hsa:5336	PLCG1	P19174	hsa:3708 hsa:3709 hsa:3710	ITPR1	Q14643	Calcium signaling pathway
935	54	66	PPrel	compound	43	hsa04020:13	hsa:51196	PLCE1	Q9P212	hsa:3708 hsa:3709 hsa:3710	ITPR1	Q14643	Calcium signaling pathway
936	62	66	PPrel	compound	43	hsa04020:14	hsa:89869	PLCZ1	Q86YW0	hsa:3708 hsa:3709 hsa:3710	ITPR1	Q14643	Calcium signaling pathway
937	65	49	PPrel	compound	41	hsa04020:15	hsa:113026 hsa:5333 hsa:84812	PLCD3	Q8N3E9	hsa:5578 hsa:5579 hsa:5582	PRKCA	P17252	Calcium signaling pathway
938	69	49	PPrel	compound	41	hsa04020:16	hsa:23236 hsa:5330 hsa:5331 hsa:5332	PLCB1	Q9NQ66	hsa:5578 hsa:5579 hsa:5582	PRKCA	P17252	Calcium signaling pathway
939	59	49	PPrel	compound	41	hsa04020:17	hsa:5335 hsa:5336	PLCG1	P19174	hsa:5578 hsa:5579 hsa:5582	PRKCA	P17252	Calcium signaling pathway
940	54	49	PPrel	compound	41	hsa04020:18	hsa:51196	PLCE1	Q9P212	hsa:5578 hsa:5579 hsa:5582	PRKCA	P17252	Calcium signaling pathway
941	62	49	PPrel	compound	41	hsa04020:19	hsa:89869	PLCZ1	Q86YW0	hsa:5578 hsa:5579 hsa:5582	PRKCA	P17252	Calcium signaling pathway
942	52	68	PPrel	compound	36	hsa04020:20	hsa:952	CD38	P28907	hsa:6261 hsa:6262 hsa:6263	RYR1	P21817	Calcium signaling pathway
943	73	57	PPrel	activation	-->	hsa04020:29	hsa:10800 hsa:1128 hsa:1129 hsa:1131 hsa:146 hsa:147 hsa:148 hsa:185 hsa:1909 hsa:1910 hsa:2149 hsa:2911 hsa:2915 hsa:2925 hsa:3269 hsa:3356 hsa:3357 hsa:3358 hsa:3973 hsa:4923 hsa:5021 hsa:552 hsa:553 hsa:56413 hsa:57105 hsa:5724 hsa:5731 hsa:5733 hsa:5737 hsa:623 hsa:624 hsa:6865 hsa:6869 hsa:6870 hsa:6915 hsa:7201 hsa:7852 hsa:886 hsa:887	CYSLTR1	Q9Y271	hsa:2767 hsa:2769 hsa:2776 hsa:9630	GNA11	P29992	Calcium signaling pathway
944	57	69	PPrel	activation	-->	hsa04020:30	hsa:2767 hsa:2769 hsa:2776 hsa:9630	GNA11	P29992	hsa:23236 hsa:5330 hsa:5331 hsa:5332	PLCB1	Q9NQ66	Calcium signaling pathway
945	74	30	PPrel	activation	-->	hsa04020:38	hsa:163688 hsa:51806 hsa:801 hsa:805 hsa:808 hsa:810 hsa:91860	CALML6	Q8TD86	hsa:5136 hsa:5137 hsa:5153	PDE1A	P54750	Calcium signaling pathway
946	74	29	PPrel	activation	-->	hsa04020:39	hsa:163688 hsa:51806 hsa:801 hsa:805 hsa:808 hsa:810 hsa:91860	CALML6	Q8TD86	hsa:107 hsa:109 hsa:114	ADCY1	Q08828	Calcium signaling pathway
947	74	31	PPrel	binding/association	---	hsa04020:40	hsa:163688 hsa:51806 hsa:801 hsa:805 hsa:808 hsa:810 hsa:91860	CALML6	Q8TD86	hsa:4842 hsa:4843 hsa:4846	NOS1	P29475	Calcium signaling pathway
948	47	74	PPrel	binding/association	---	hsa04020:41	hsa:57118 hsa:57172 hsa:814 hsa:815 hsa:816 hsa:817 hsa:818 hsa:8536	CAMK1D	Q8IU85	hsa:163688 hsa:51806 hsa:801 hsa:805 hsa:808 hsa:810 hsa:91860	CALML6	Q8TD86	Calcium signaling pathway
949	55	59	PPrel	activation	-->	hsa04020:44	hsa:102723407	IGHV4-38-2	P0DP08	hsa:5335 hsa:5336	PLCG1	P19174	Calcium signaling pathway
950	52	51	PPrel	compound	37	hsa04020:53	hsa:952	CD38	P28907	hsa:219931 hsa:53373	TPCN2	Q8NHX9	Calcium signaling pathway
951	166	158	PPrel	binding/association	---	hsa04020:56	hsa:3270	HRC	P23327	hsa:10345	TRDN	Q13061	Calcium signaling pathway
952	164	79	PPrel	binding/association	---	hsa04020:57	hsa:3270	HRC	P23327	hsa:487 hsa:488 hsa:489	ATP2A1	O14983	Calcium signaling pathway
953	174	56	PPrel	activation	-->	hsa04020:61	hsa:1950 hsa:2246 hsa:2247 hsa:2248 hsa:2249 hsa:2250 hsa:2251 hsa:2252 hsa:2253 hsa:2254 hsa:2255 hsa:2277 hsa:26281 hsa:26291 hsa:2668 hsa:27006 hsa:3082 hsa:4485 hsa:4803 hsa:5154 hsa:5155 hsa:56034 hsa:7422 hsa:7423 hsa:7424 hsa:80310 hsa:8074 hsa:8817 hsa:8822 hsa:8823 hsa:9965	EGF	P01133	hsa:1956 hsa:2064 hsa:2065 hsa:2066 hsa:2260 hsa:2261 hsa:2263 hsa:2264 hsa:2321 hsa:2324 hsa:3791 hsa:4233 hsa:4486 hsa:4914 hsa:4915 hsa:4916 hsa:5156 hsa:5159 hsa:5979	EGFR	P00533	Calcium signaling pathway
954	50	81	ECrel	compound	75	hsa04070:1	hsa:113026 hsa:23236 hsa:51196 hsa:5330 hsa:5331 hsa:5332 hsa:5333 hsa:5335 hsa:5336 hsa:84812 hsa:89869	PLCD3	Q8N3E9	hsa:200576	PIKFYVE	Q9Y2I7	Phosphatidylinositol signaling system
955	50	81	ECrel	compound	75	hsa04070:1	hsa:113026 hsa:23236 hsa:51196 hsa:5330 hsa:5331 hsa:5332 hsa:5333 hsa:5335 hsa:5336 hsa:84812 hsa:89869	PLCD3	Q8N3E9	hsa:200576	CFD	P00746	Phosphatidylinositol signaling system
956	81	83	ECrel	compound	75	hsa04070:2	hsa:200576	PIKFYVE	Q9Y2I7	hsa:5286 hsa:5287 hsa:5288 hsa:5295 hsa:5296 hsa:8503	PIK3C2A	O00443	Phosphatidylinositol signaling system
957	81	83	ECrel	compound	75	hsa04070:2	hsa:200576	CFD	P00746	hsa:5286 hsa:5287 hsa:5288 hsa:5295 hsa:5296 hsa:8503	PIK3C2A	O00443	Phosphatidylinositol signaling system
958	45	81	ECrel	compound	75	hsa04070:3	hsa:5728	PTEN	P60484	hsa:200576	PIKFYVE	Q9Y2I7	Phosphatidylinositol signaling system
959	45	81	ECrel	compound	75	hsa04070:3	hsa:5728	PTEN	P60484	hsa:200576	CFD	P00746	Phosphatidylinositol signaling system
960	45	81	ECrel	compound	75	hsa04070:3	hsa:5728	TEP1	Q99973	hsa:200576	PIKFYVE	Q9Y2I7	Phosphatidylinositol signaling system
961	45	81	ECrel	compound	75	hsa04070:3	hsa:5728	TEP1	Q99973	hsa:200576	CFD	P00746	Phosphatidylinositol signaling system
962	81	105	ECrel	compound	75	hsa04070:4	hsa:200576	PIKFYVE	Q9Y2I7	hsa:4534 hsa:55613 hsa:64419 hsa:8776 hsa:8897 hsa:8898 hsa:9107 hsa:9108 hsa:9110	MTM1	Q13496	Phosphatidylinositol signaling system
963	81	105	ECrel	compound	75	hsa04070:4	hsa:200576	CFD	P00746	hsa:4534 hsa:55613 hsa:64419 hsa:8776 hsa:8897 hsa:8898 hsa:9107 hsa:9108 hsa:9110	MTM1	Q13496	Phosphatidylinositol signaling system
964	78	81	ECrel	compound	75	hsa04070:5	hsa:10423	CDIPT	O14735	hsa:200576	PIKFYVE	Q9Y2I7	Phosphatidylinositol signaling system
965	78	81	ECrel	compound	75	hsa04070:5	hsa:10423	CDIPT	O14735	hsa:200576	CFD	P00746	Phosphatidylinositol signaling system
966	50	83	ECrel	compound	75	hsa04070:6	hsa:113026 hsa:23236 hsa:51196 hsa:5330 hsa:5331 hsa:5332 hsa:5333 hsa:5335 hsa:5336 hsa:84812 hsa:89869	PLCD3	Q8N3E9	hsa:5286 hsa:5287 hsa:5288 hsa:5295 hsa:5296 hsa:8503	PIK3C2A	O00443	Phosphatidylinositol signaling system
967	45	50	ECrel	compound	75	hsa04070:7	hsa:5728	PTEN	P60484	hsa:113026 hsa:23236 hsa:51196 hsa:5330 hsa:5331 hsa:5332 hsa:5333 hsa:5335 hsa:5336 hsa:84812 hsa:89869	PLCD3	Q8N3E9	Phosphatidylinositol signaling system
968	45	50	ECrel	compound	75	hsa04070:7	hsa:5728	TEP1	Q99973	hsa:113026 hsa:23236 hsa:51196 hsa:5330 hsa:5331 hsa:5332 hsa:5333 hsa:5335 hsa:5336 hsa:84812 hsa:89869	PLCD3	Q8N3E9	Phosphatidylinositol signaling system
969	50	105	ECrel	compound	75	hsa04070:8	hsa:113026 hsa:23236 hsa:51196 hsa:5330 hsa:5331 hsa:5332 hsa:5333 hsa:5335 hsa:5336 hsa:84812 hsa:89869	PLCD3	Q8N3E9	hsa:4534 hsa:55613 hsa:64419 hsa:8776 hsa:8897 hsa:8898 hsa:9107 hsa:9108 hsa:9110	MTM1	Q13496	Phosphatidylinositol signaling system
970	50	78	ECrel	compound	75	hsa04070:9	hsa:113026 hsa:23236 hsa:51196 hsa:5330 hsa:5331 hsa:5332 hsa:5333 hsa:5335 hsa:5336 hsa:84812 hsa:89869	PLCD3	Q8N3E9	hsa:10423	CDIPT	O14735	Phosphatidylinositol signaling system
971	45	83	ECrel	compound	72	hsa04070:10	hsa:5728	PTEN	P60484	hsa:5286 hsa:5287 hsa:5288 hsa:5295 hsa:5296 hsa:8503	PIK3C2A	O00443	Phosphatidylinositol signaling system
972	45	83	ECrel	compound	72	hsa04070:10	hsa:5728	TEP1	Q99973	hsa:5286 hsa:5287 hsa:5288 hsa:5295 hsa:5296 hsa:8503	PIK3C2A	O00443	Phosphatidylinositol signaling system
973	45	83	ECrel	compound	75	hsa04070:11	hsa:5728	PTEN	P60484	hsa:5286 hsa:5287 hsa:5288 hsa:5295 hsa:5296 hsa:8503	PIK3C2A	O00443	Phosphatidylinositol signaling system
974	45	83	ECrel	compound	75	hsa04070:11	hsa:5728	TEP1	Q99973	hsa:5286 hsa:5287 hsa:5288 hsa:5295 hsa:5296 hsa:8503	PIK3C2A	O00443	Phosphatidylinositol signaling system
975	83	105	ECrel	compound	72	hsa04070:12	hsa:5286 hsa:5287 hsa:5288 hsa:5295 hsa:5296 hsa:8503	PIK3C2A	O00443	hsa:4534 hsa:55613 hsa:64419 hsa:8776 hsa:8897 hsa:8898 hsa:9107 hsa:9108 hsa:9110	MTM1	Q13496	Phosphatidylinositol signaling system
976	83	105	ECrel	compound	75	hsa04070:13	hsa:5286 hsa:5287 hsa:5288 hsa:5295 hsa:5296 hsa:8503	PIK3C2A	O00443	hsa:4534 hsa:55613 hsa:64419 hsa:8776 hsa:8897 hsa:8898 hsa:9107 hsa:9108 hsa:9110	MTM1	Q13496	Phosphatidylinositol signaling system
977	78	83	ECrel	compound	75	hsa04070:14	hsa:10423	CDIPT	O14735	hsa:5286 hsa:5287 hsa:5288 hsa:5295 hsa:5296 hsa:8503	PIK3C2A	O00443	Phosphatidylinositol signaling system
978	45	78	ECrel	compound	75	hsa04070:15	hsa:5728	PTEN	P60484	hsa:10423	CDIPT	O14735	Phosphatidylinositol signaling system
979	45	78	ECrel	compound	75	hsa04070:15	hsa:5728	TEP1	Q99973	hsa:10423	CDIPT	O14735	Phosphatidylinositol signaling system
980	78	105	ECrel	compound	75	hsa04070:16	hsa:10423	CDIPT	O14735	hsa:4534 hsa:55613 hsa:64419 hsa:8776 hsa:8897 hsa:8898 hsa:9107 hsa:9108 hsa:9110	MTM1	Q13496	Phosphatidylinositol signaling system
981	81	90	ECrel	compound	49	hsa04070:17	hsa:200576	PIKFYVE	Q9Y2I7	hsa:5305 hsa:79837 hsa:8396	PIP4K2A	P48426	Phosphatidylinositol signaling system
982	81	90	ECrel	compound	49	hsa04070:17	hsa:200576	CFD	P00746	hsa:5305 hsa:79837 hsa:8396	PIP4K2A	P48426	Phosphatidylinositol signaling system
983	90	106	ECrel	compound	66	hsa04070:18	hsa:5305 hsa:79837 hsa:8396	PIP4K2A	P48426	hsa:5728	PTEN	P60484	Phosphatidylinositol signaling system
984	90	106	ECrel	compound	66	hsa04070:18	hsa:5305 hsa:79837 hsa:8396	PIP4K2A	P48426	hsa:5728	TEP1	Q99973	Phosphatidylinositol signaling system
985	79	90	ECrel	compound	66	hsa04070:19	hsa:5290 hsa:5291 hsa:5293 hsa:5295 hsa:5296 hsa:8503	PIK3CA	P42336	hsa:5305 hsa:79837 hsa:8396	PIP4K2A	P48426	Phosphatidylinositol signaling system
986	51	90	ECrel	compound	66	hsa04070:20	hsa:113026 hsa:23236 hsa:51196 hsa:5330 hsa:5331 hsa:5332 hsa:5333 hsa:5335 hsa:5336 hsa:84812 hsa:89869	PLCD3	Q8N3E9	hsa:5305 hsa:79837 hsa:8396	PIP4K2A	P48426	Phosphatidylinositol signaling system
987	79	106	ECrel	compound	73	hsa04070:21	hsa:5290 hsa:5291 hsa:5293 hsa:5295 hsa:5296 hsa:8503	PIK3CA	P42336	hsa:5728	PTEN	P60484	Phosphatidylinositol signaling system
988	79	106	ECrel	compound	73	hsa04070:21	hsa:5290 hsa:5291 hsa:5293 hsa:5295 hsa:5296 hsa:8503	PIK3CA	P42336	hsa:5728	TEP1	Q99973	Phosphatidylinositol signaling system
989	79	106	ECrel	compound	66	hsa04070:22	hsa:5290 hsa:5291 hsa:5293 hsa:5295 hsa:5296 hsa:8503	PIK3CA	P42336	hsa:5728	PTEN	P60484	Phosphatidylinositol signaling system
990	79	106	ECrel	compound	66	hsa04070:22	hsa:5290 hsa:5291 hsa:5293 hsa:5295 hsa:5296 hsa:8503	PIK3CA	P42336	hsa:5728	TEP1	Q99973	Phosphatidylinositol signaling system
991	51	106	ECrel	compound	66	hsa04070:23	hsa:113026 hsa:23236 hsa:51196 hsa:5330 hsa:5331 hsa:5332 hsa:5333 hsa:5335 hsa:5336 hsa:84812 hsa:89869	PLCD3	Q8N3E9	hsa:5728	PTEN	P60484	Phosphatidylinositol signaling system
992	51	106	ECrel	compound	66	hsa04070:23	hsa:113026 hsa:23236 hsa:51196 hsa:5330 hsa:5331 hsa:5332 hsa:5333 hsa:5335 hsa:5336 hsa:84812 hsa:89869	PLCD3	Q8N3E9	hsa:5728	TEP1	Q99973	Phosphatidylinositol signaling system
